學年度,族籍別,性別,等級別,在學數
108,賽德克族,男,總計,221
108,賽德克族,男,博士班,1
108,賽德克族,男,碩士班,36
108,賽德克族,男,學士班,167
108,賽德克族,男,二專,9
108,賽德克族,男,五專,8
108,賽德克族,女,總計,382
108,賽德克族,女,博士班,3
108,賽德克族,女,碩士班,41
108,賽德克族,女,學士班,214
108,賽德克族,女,二專,13
108,賽德克族,女,五專,111
108,拉阿魯哇族,男,總計,10
108,拉阿魯哇族,男,博士班,1
108,拉阿魯哇族,男,碩士班,3
108,拉阿魯哇族,男,學士班,5
108,拉阿魯哇族,男,二專,0
108,拉阿魯哇族,男,五專,1
108,拉阿魯哇族,女,總計,15
108,拉阿魯哇族,女,博士班,0
108,拉阿魯哇族,女,碩士班,1
108,拉阿魯哇族,女,學士班,11
108,拉阿魯哇族,女,二專,0
108,拉阿魯哇族,女,五專,3
108,卡那卡那富族,男,總計,8
108,卡那卡那富族,男,博士班,1
108,卡那卡那富族,男,碩士班,0
108,卡那卡那富族,男,學士班,7
108,卡那卡那富族,男,二專,0
108,卡那卡那富族,男,五專,0
108,卡那卡那富族,女,總計,13
108,卡那卡那富族,女,博士班,0
108,卡那卡那富族,女,碩士班,0
108,卡那卡那富族,女,學士班,12
108,卡那卡那富族,女,二專,0
108,卡那卡那富族,女,五專,1
108,尚未申報族籍,男,總計,20
108,尚未申報族籍,男,博士班,0
108,尚未申報族籍,男,碩士班,4
108,尚未申報族籍,男,學士班,14
108,尚未申報族籍,男,二專,1
108,尚未申報族籍,男,五專,1
108,尚未申報族籍,女,總計,12
108,尚未申報族籍,女,博士班,0
108,尚未申報族籍,女,碩士班,2
108,尚未申報族籍,女,學士班,10
108,尚未申報族籍,女,二專,0
108,尚未申報族籍,女,五專,0
109,總計,男,總計,11194
109,總計,男,博士班,108
109,總計,男,碩士班,933
109,總計,男,學士班,9236
109,總計,男,二專,332
109,總計,男,五專,585
109,總計,女,總計,16809
109,總計,女,博士班,72
109,總計,女,碩士班,1282
109,總計,女,學士班,11435
109,總計,女,二專,603
109,總計,女,五專,3417
109,阿美族,男,總計,4062
109,阿美族,男,博士班,25
109,阿美族,男,碩士班,277
109,阿美族,男,學士班,3470
109,阿美族,男,二專,110
109,阿美族,男,五專,180
109,阿美族,女,總計,5700
109,阿美族,女,博士班,10
109,阿美族,女,碩士班,351
109,阿美族,女,學士班,4101
109,阿美族,女,二專,226
109,阿美族,女,五專,1012
109,泰雅族,男,總計,1864
109,泰雅族,男,博士班,18
109,泰雅族,男,碩士班,165
109,泰雅族,男,學士班,1520
109,泰雅族,男,二專,50
109,泰雅族,男,五專,111
109,泰雅族,女,總計,2766
109,泰雅族,女,博士班,15
109,泰雅族,女,碩士班,207
109,泰雅族,女,學士班,1847
109,泰雅族,女,二專,93
109,泰雅族,女,五專,604
109,排灣族,男,總計,2045
109,排灣族,男,博士班,27
109,排灣族,男,碩士班,187
109,排灣族,男,學士班,1652
109,排灣族,男,二專,64
109,排灣族,男,五專,115
109,排灣族,女,總計,3333
109,排灣族,女,博士班,22
109,排灣族,女,碩士班,273
109,排灣族,女,學士班,2202
109,排灣族,女,二專,106
109,排灣族,女,五專,730
109,布農族,男,總計,1254
109,布農族,男,博士班,17
109,布農族,男,碩士班,121
109,布農族,男,學士班,1003
109,布農族,男,二專,45
109,布農族,男,五專,68
109,布農族,女,總計,1854
109,布農族,女,博士班,9
109,布農族,女,碩士班,154
109,布農族,女,學士班,1138
109,布農族,女,二專,77
109,布農族,女,五專,476
109,卑南族,男,總計,262
109,卑南族,男,博士班,2
109,卑南族,男,碩士班,26
109,卑南族,男,學士班,212
109,卑南族,男,二專,12
109,卑南族,男,五專,10
109,卑南族,女,總計,458
109,卑南族,女,博士班,5
109,卑南族,女,碩士班,45
109,卑南族,女,學士班,314
109,卑南族,女,二專,15
109,卑南族,女,五專,79
109,鄒族,男,總計,113
109,鄒族,男,博士班,5
109,鄒族,男,碩士班,13
109,鄒族,男,學士班,84
109,鄒族,男,二專,3
109,鄒族,男,五專,8
109,鄒族,女,總計,198
109,鄒族,女,博士班,0
109,鄒族,女,碩士班,25
109,鄒族,女,學士班,152
109,鄒族,女,二專,4
109,鄒族,女,五專,17
109,魯凱族,男,總計,296
109,魯凱族,男,博士班,2
109,魯凱族,男,碩士班,28
109,魯凱族,男,學士班,226
109,魯凱族,男,二專,11
109,魯凱族,男,五專,29
109,魯凱族,女,總計,493
109,魯凱族,女,博士班,1
109,魯凱族,女,碩士班,63
109,魯凱族,女,學士班,342
109,魯凱族,女,二專,11
109,魯凱族,女,五專,76
109,賽夏族,男,總計,140
109,賽夏族,男,博士班,1
109,賽夏族,男,碩士班,14
109,賽夏族,男,學士班,118
109,賽夏族,男,二專,1
109,賽夏族,男,五專,6
109,賽夏族,女,總計,196
109,賽夏族,女,博士班,1
109,賽夏族,女,碩士班,7
109,賽夏族,女,學士班,151
109,賽夏族,女,二專,2
109,賽夏族,女,五專,35
109,雅美族,男,總計,87
109,雅美族,男,博士班,0
109,雅美族,男,碩士班,2
109,雅美族,男,學士班,84
109,雅美族,男,二專,1
109,雅美族,男,五專,0
109,雅美族,女,總計,136
109,雅美族,女,博士班,0
109,雅美族,女,碩士班,6
109,雅美族,女,學士班,113
109,雅美族,女,二專,7
109,雅美族,女,五專,10
109,邵族,男,總計,24
109,邵族,男,博士班,1
109,邵族,男,碩士班,1
109,邵族,男,學士班,21
109,邵族,男,二專,1
109,邵族,男,五專,0
109,邵族,女,總計,29
109,邵族,女,博士班,0
109,邵族,女,碩士班,2
109,邵族,女,學士班,23
109,邵族,女,二專,1
109,邵族,女,五專,3
109,噶瑪蘭族,男,總計,36
109,噶瑪蘭族,男,博士班,0
109,噶瑪蘭族,男,碩士班,2
109,噶瑪蘭族,男,學士班,32
109,噶瑪蘭族,男,二專,0
109,噶瑪蘭族,男,五專,2
109,噶瑪蘭族,女,總計,48
109,噶瑪蘭族,女,博士班,0
109,噶瑪蘭族,女,碩士班,8
109,噶瑪蘭族,女,學士班,28
109,噶瑪蘭族,女,二專,2
109,噶瑪蘭族,女,五專,10
109,太魯閣族,男,總計,695
109,太魯閣族,男,博士班,7
109,太魯閣族,男,碩士班,44
109,太魯閣族,男,學士班,574
109,太魯閣族,男,二專,28
109,太魯閣族,男,五專,42
109,太魯閣族,女,總計,1147
109,太魯閣族,女,博士班,4
109,太魯閣族,女,碩士班,83
109,太魯閣族,女,學士班,762
109,太魯閣族,女,二專,44
109,太魯閣族,女,五專,254
109,撒奇萊雅族,男,總計,24
109,撒奇萊雅族,男,博士班,0
109,撒奇萊雅族,男,碩士班,4
109,撒奇萊雅族,男,學士班,18
109,撒奇萊雅族,男,二專,0
109,撒奇萊雅族,男,五專,2
109,撒奇萊雅族,女,總計,31
109,撒奇萊雅族,女,博士班,1
109,撒奇萊雅族,女,碩士班,6
109,撒奇萊雅族,女,學士班,19
109,撒奇萊雅族,女,二專,0
109,撒奇萊雅族,女,五專,5
109,賽德克族,男,總計,246
109,賽德克族,男,博士班,1
109,賽德克族,男,碩士班,40
109,賽德克族,男,學士班,192
109,賽德克族,男,二專,5
109,賽德克族,男,五專,8
109,賽德克族,女,總計,372
109,賽德克族,女,博士班,4
109,賽德克族,女,碩士班,45
109,賽德克族,女,學士班,208
109,賽德克族,女,二專,14
109,賽德克族,女,五專,101
109,拉阿魯哇族,男,總計,13
109,拉阿魯哇族,男,博士班,0
109,拉阿魯哇族,男,碩士班,5
109,拉阿魯哇族,男,學士班,7
109,拉阿魯哇族,男,二專,0
109,拉阿魯哇族,男,五專,1
109,拉阿魯哇族,女,總計,18
109,拉阿魯哇族,女,博士班,0
109,拉阿魯哇族,女,碩士班,2
109,拉阿魯哇族,女,學士班,13
109,拉阿魯哇族,女,二專,0
109,拉阿魯哇族,女,五專,3
109,卡那卡那富族,男,總計,10
109,卡那卡那富族,男,博士班,1
